id,slug,link,primary_image_url,primary_image_caption
17862,2025/11/27/blood-libels-antisemitism-and-the-strange-return-of-medieval-imagery,https://cheesegratermagazine.org/2025/11/27/blood-libels-antisemitism-and-the-strange-return-of-medieval-imagery/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/william-of-norwich-e1764282940838.jpg,"William of Norwich, the first person whose death was attributed to the antisemitic blood libel myth. Photograph by unknown author via Wikimedia Commons"
17835,2025/11/27/ucl-unveils-rebrand-ahead-of-200th-anniversary,https://cheesegratermagazine.org/2025/11/27/ucl-unveils-rebrand-ahead-of-200th-anniversary/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Main-logo-1100x786.png,UCL's logos for dark and light backgrounds. Credit: Brand and Experience at UCL
17820,2025/11/25/reading-week-a-waste-of-time,https://cheesegratermagazine.org/2025/11/25/reading-week-a-waste-of-time/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/1_G_VQZcr12g15PZRLifCsGQ-1-1100x733.jpg,Credit: rawpixel.com
17800,2025/11/23/living-in-astor-college-isn-t-all-that,https://cheesegratermagazine.org/2025/11/23/living-in-astor-college-isnt-all-that/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Screenshot-2025-11-23-at-16.13.38.png,Photograph by Anastasia Clarke
17792,2025/11/23/michael-spence-secretly-a-robot-piloted-by-a-smaller-evil-michael-spence,https://cheesegratermagazine.org/2025/11/23/michael-spence-secretly-a-robot-piloted-by-a-smaller-evil-michael-spence/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/tiny-spence-1-1100x785.jpeg,Graphic by Jinn yin Wang
17780,2025/11/21/ucl-accommodation-needs-225m-to-meet-their-own-standards,https://cheesegratermagazine.org/2025/11/21/ucl-accommodation-needs-225m-to-meet-their-own-standards/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/old-astor-1100x786.png,Historically accurate Astor College. Original photograph via UCL Imagestore
17751,2025/11/21/union-executive-meeting-promotes-authoritarianism-and-ghostbusters,https://cheesegratermagazine.org/2025/11/21/union-executive-meeting-promotes-authoritarianism-and-ghostbusters/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/ghostbusters-1100x695.jpeg,Graphic by Szofi Vardy
17743,2025/11/20/behind-the-scenes-of-ucl-drama-society-s-medea,https://cheesegratermagazine.org/2025/11/20/behind-the-scenes-of-ucl-drama-societys-medea/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/ticket_banner_3.jpg,Promotional poster for Medea. Credit to UCL Bloomsbury Theatre and Studio & @medea_ucl on Instagram.
17734,2025/11/18/ucl-anarchist-society-elects-first-ever-president,https://cheesegratermagazine.org/2025/11/18/ucl-anarchist-society-elects-first-ever-president/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/PHOTO-2025-11-17-05-56-23-1100x785.jpg,Graphic by Jinn yin Wang
17702,2025/11/17/ucl-investing-in-tech-companies-working-for-the-israeli-government,https://cheesegratermagazine.org/2025/11/17/ucl-investing-in-tech-companies-working-for-the-israeli-government/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/callum-piecve.png,Graphic by Kotryna Taujanskaite
17691,2025/11/17/better-than-ai-black-mould-in-main-library-infects-night-owl-students,https://cheesegratermagazine.org/2025/11/17/better-than-ai-black-mould-in-main-library-infects-night-owl-students/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Library-Mould-Graphic-uncoloured-1100x791.jpeg,"""Maze Runner"" Main Library edition. Graphic by Anna Firth."
17674,2025/11/15/ucl-sjp-banned-from-hosting-events-after-speaker-s-heinous-antisemitism-and-medieval-blood-libel,https://cheesegratermagazine.org/2025/11/15/ucl-sjp-banned-from-hosting-events-after-speakers-heinous-antisemitism-and-medieval-blood-libel/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/sjp-story-1.jpeg,Photograph from StandWithUs UK
17668,2025/11/11/stand-clear-of-the-doors-jonty,https://cheesegratermagazine.org/2025/11/11/stand-clear-of-the-doors-jonty/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/PHOTO-2025-11-08-19-06-12-1100x785.jpg,Grpahic by Jinn yin Wang
17652,2025/11/09/jeremy-bentham-missing-from-glass-box-as-louvre-jewels-stolen-two-days-later,https://cheesegratermagazine.org/2025/11/09/jeremy-bentham-missing-from-glass-box-as-louvre-jewels-stolen-two-days-later/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/PHOTO-2025-11-08-19-06-11-1100x785.jpg,Graphic by Jinn yin Wang
17643,2025/11/08/record-turnout-at-2025-rep-elections-but-apathy-remains-clear-winner-analysis,https://cheesegratermagazine.org/2025/11/08/record-turnout-at-2025-rep-elections-but-apathy-remains-clear-winner-analysis/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/PHOTO-2025-11-08-11-05-21-1100x619.jpg,Students' Union/Maths/Physics building looks naked without her scaffolding. Photo by Adam Cleary.
17635,2025/11/08/sausage-fest-slaughter,https://cheesegratermagazine.org/2025/11/08/economics-student-killed-by-peers-is-the-quarter-zip-regime-to-blame/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/PHOTO-2025-11-07-21-06-36-1100x619.jpg,Quarter zip non-compliance turns fatal in a lecture hall. Graphic by Judy Lin.
17619,2025/11/04/down-it-fresher-students-driven-to-alcoholism-by-deranged-sportsman,https://cheesegratermagazine.org/2025/11/04/down-it-fresher-students-driven-to-alcoholism-by-deranged-sportsman/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Screenshot-2025-11-04-at-16.12.29-1100x613.png,Graphic by Rebekah Wright
17612,2025/11/04/ucl-anthropology-to-offer-brainrot-studies-module-in-bid-to-stay-relevant,https://cheesegratermagazine.org/2025/11/04/ucl-anthropology-to-offer-brainrot-studies-module-in-bid-to-stay-relevant/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Screenshot-2025-11-04-at-15.30.31-1100x754.png,Graphic by Josh Palmer
17602,2025/11/03/police-called-to-friends-of-israel-event-hosting-former-idf-soldier,https://cheesegratermagazine.org/2025/11/03/police-called-to-friends-of-israel-event-hosting-former-idf-soldier/,https://cheesegratermagazine.org/wp-content/uploads/2025/11/Screenshot-2025-11-03-at-21.26.51-1100x821.png,The pro-Palestine protest outside the event. Photos from a member of 'The Cheese Grater'.
17585,2025/10/31/halloween-costume-inspiration-2025,https://cheesegratermagazine.org/2025/10/31/halloween-costume-inspiration-2025/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-31-at-19.48.53-1100x785.png,Graphic by Rebekah Wright
17573,2025/10/27/ucl-north-to-be-established-in-orbit-above-earth,https://cheesegratermagazine.org/2025/10/27/ucl-north-to-be-established-in-orbit-above-earth/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/ucl-north.jpeg,Graphic by Michelle Yuen
17559,2025/10/26/better-with-bentham,https://cheesegratermagazine.org/2025/10/26/better-with-bentham/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-26-at-14.46.45-1100x796.png,
17531,2025/10/26/ucl-provost-set-to-join-the-mcu,https://cheesegratermagazine.org/2025/10/26/ucl-provost-set-to-join-the-mcu/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Spiderman-Leaving-home.png,Graphic by Rebekah Wright.
17512,2025/10/24/tuition-fees-for-english-universities-to-rise-from-2026,https://cheesegratermagazine.org/2025/10/24/tuition-fees-for-english-universities-to-rise-from-2026/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/tuition-fees.png,Graphic by Malvika Murkumbi
17487,2025/10/23/an-american-guide-to-london,https://cheesegratermagazine.org/2025/10/23/an-american-guide-to-london/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/PHOTO-2025-10-20-08-59-48-1-1100x735.jpg,Graphic by Jinn yin Wang.
17459,2025/10/23/lgbtq-network-too-woke-proclaims-rep-election-candidate,https://cheesegratermagazine.org/2025/10/23/lgbtq-network-too-woke-proclaims-rep-election-candidate/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/gay.jpg,Graphic via stock images and Malvika Murkumbi
17449,2025/10/22/the-london-scab-bonnie-blue-announces-new-stop-in-ucl-on-freshers-tour-and-you-ll-never-guess-where-it-is,https://cheesegratermagazine.org/2025/10/22/the-london-scab-bonnie-blue-announces-new-stop-in-ucl-on-freshers-tour-and-youll-never-guess-where-it-is/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-23-at-18.22.46-1.png,"""And if the Bonnie Blue bang bus crashes into usssss"". Graphic by Michelle Yuen."
17441,2025/10/21/punch-and-policy-police-called-after-altercation-between-pub-local-and-conservative-freshers,https://cheesegratermagazine.org/2025/10/21/punch-and-policy-police-called-after-altercation-between-pub-local-and-conservative-freshers/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/port-n-policy-1.jpg,Tories at an Irish pub? Graphic by Kotryna Taujanskaite.
17409,2025/10/21/student-media-rep-race-the-candidates-make-their-case,https://cheesegratermagazine.org/2025/10/21/student-media-rep-race-the-candidates-make-their-case/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-26-at-14.20.57-1100x515.png,The candidates for Media Rep. Photos from the Students' Union election webpage.
17411,2025/10/21/only-a-short-flight-from-campus-ucl-defends-new-birmingham-accommodation-plan,https://cheesegratermagazine.org/2025/10/21/only-a-short-flight-from-campus-ucl-defends-new-accommodation-plan/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/PHOTO-2025-10-20-19-17-37-1100x738.jpg,Graphic by Josh Palmer.
17396,2025/10/20/welcome-fair-forced-to-shut-early-due-to-inadequate-lighting,https://cheesegratermagazine.org/2025/10/20/welcome-fair-forced-to-shut-early-due-to-inadequate-lighting/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/UCL-woke-graphic.jpg,Graphic by Anna Firth
17386,2025/10/20/breaking-fans-admit-happiness-was-a-mistake-after-hearing-swift-s-new-album,https://cheesegratermagazine.org/2025/10/20/breaking-fans-admit-happiness-was-a-mistake-after-hearing-swifts-new-album/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Taylor_Swift_6966830273-1.jpg,Photograph from Wikimedia Commons.
17547,2025/10/19/he-was-a-fairy,https://cheesegratermagazine.org/2025/10/19/he-was-a-fairy/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-26-at-14.41.51-1100x1264.png,
17363,2025/10/15/union-passes-nothingburger-policy,https://cheesegratermagazine.org/2025/10/15/union-passes-nothingburger-policy/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-15-at-09.47.16-1100x928.png,Graphic by James Balloqui
17353,2025/10/14/a-tory-ble-night-out,https://cheesegratermagazine.org/2025/10/14/a-tory-ble-night-out/,,
17342,2025/10/13/union-breached-sustainability-policy-at-welcome-fair,https://cheesegratermagazine.org/2025/10/13/union-breached-sustainability-policy-at-welcome-fair/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/sustainable.png,Graphic by Kotryna Taujanskaite
17326,2025/10/11/are-you-there-chums-it-s-me-jonty,https://cheesegratermagazine.org/2025/10/11/are-you-there-chums-its-me-jonty/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/IMG_0102-1100x689.jpg,The worst part about being grounded in the pool-house is that the Help always forget about you. Graphic by Rebekah Wright.
17318,2025/10/10/the-london-scab-top-10-ucl-grads,https://cheesegratermagazine.org/2025/10/10/the-london-scab-top-10-ucl-grads/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/1-1100x800.jpeg,Jojo Siwa x David Attenborough. Graphic by Xifei Zhang.
17300,2025/10/09/the-fridge-was-full-of-maggots-student-kitchen-nightmares-and-fsa-food-safety-advice,https://cheesegratermagazine.org/2025/10/09/the-fridge-was-full-of-maggots-student-kitchen-nightmares-and-fsa-advice-about-food-safety/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/PHOTO-2025-10-04-17-20-13-1-1100x691.jpg,Graphic by Rebekah Wright on behalf of 'The Cheese Grater'. The FSA is running a campaign to inform and educate. We believe in tough love.
17272,2025/10/06/ucl-apologises-after-international-students-almost-deported,https://cheesegratermagazine.org/2025/10/06/ucl-apologises-after-international-students-almost-deported/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/busy-airport-.jpg,Photograph via Creative Commons License CC0 1.0 Universal
17253,2025/10/06/ucl-forces-freshers-into-a-squid-games-for-places-in-student-halls,https://cheesegratermagazine.org/2025/10/06/ucl-forces-freshers-into-a-squid-games-for-places-in-student-halls/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/IMG_0095-1100x817.jpeg,Graphic by Go Kitajima and Rebekah Wright
17235,2025/10/05/ucl-cleaners-strike-in-photographs,https://cheesegratermagazine.org/2025/10/05/ucl-cleaners-strike-in-photographs/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/IMG_1800-1-1100x825.jpeg,"“Justice 4 Cleaners”: A sign held outside the Student Centre, from a protest held on Wednesday 1 October. Photograph by Viktoria Karaivanova."
17220,2025/10/05/i-m-a-ucl-student-get-me-out-of-here,https://cheesegratermagazine.org/2025/10/05/im-a-ucl-student-get-me-out-of-here/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/whaaaat.png,
17194,2025/10/02/refurbished-print-room-caf-reopens-with-launch-event,https://cheesegratermagazine.org/2025/10/02/newly-refurbished-print-room-cafe-has-open-ceremony/,https://cheesegratermagazine.org/wp-content/uploads/2025/10/Screenshot-2025-10-02-at-15.31.40-1100x731.png,Students queue at the new counter. Photograph by Szofi Vardy.
17150,2025/09/29/over-1-300-incoming-ucl-students-left-without-accommodation-after-last-minute-application-rejections,https://cheesegratermagazine.org/2025/09/29/over-1300-incoming-ucl-students-left-without-accommodation-as-applications-refused-days-before-welcome-week/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/accom-graphIC-1-870x570.png,Graphic by Kotryna Taujanskaite
17139,2025/09/28/review-diwana-bhel-poori-house,https://cheesegratermagazine.org/2025/09/28/review-diwana-bhel-poori-house/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/Screenshot-2025-09-28-at-22.12.31-1-1100x785.png,Photograph by Theo Naylor Marlow
17128,2025/09/28/the-2025-expedition-east,https://cheesegratermagazine.org/2025/09/28/dishonest-academic-practices-copy/,,
17121,2025/09/28/virgin-media-please-stop-calling-me,https://cheesegratermagazine.org/2025/09/28/virgin-media-please-stop-calling-me/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/virigin.png,"Red lights, stop signs... Graphic by Kotryna Taujanskaite"
17114,2025/09/28/review-of-ucl-s-nautical-mile,https://cheesegratermagazine.org/2025/09/28/review-of-ucls-nautical-mile/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/panthony-at-spoons-1100x613.png,Arthur Lachlan at a Wetherspoons. Original photograph via Wikimedia Commons
17106,2025/09/28/a-guide-on-how-to-talk-to-your-northern-friend-s,https://cheesegratermagazine.org/2025/09/28/a-guide-on-how-to-talk-to-your-northern-friends/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/Screenshot-2025-09-28-at-17.18.52-1100x1010.png,Graphic by Lucy Reade
17097,2025/09/27/self-destruction-is-cool-putting-the-dying-in-studying,https://cheesegratermagazine.org/2025/09/27/self-destruction-is-cool-putting-the-dying-in-studying/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/No-comment.png,Jeremy Bentham has declined to comment. Graphic by Malvika Murkumbi
17092,2025/09/27/approval-granted-for-gazan-students-to-study-in-uk-universities,https://cheesegratermagazine.org/2025/09/27/ucl-offer-holders-trapped-in-gaza-due-to-bureaucratic-hurdles-copy/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/528321439_17843861001544472_4101066061025101266_n.jpg,@thegaza40 on Instagram
17083,2025/09/26/it-s-time-to-be-served-some-humble-pie,https://cheesegratermagazine.org/2025/09/26/its-time-to-be-served-some-humble-pie/,,
17075,2025/09/26/pint-sized-review-1-a-guinness-at-the-huntley,https://cheesegratermagazine.org/2025/09/26/pint-sized-review-1-a-guinness-at-the-huntley/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/huntley-guinness-1.png,"Half the price, half the beer!"
17065,2025/09/23/the-student-centre-is-amazing-and-other-lies-you-were-told-on-open-day,https://cheesegratermagazine.org/2025/09/23/the-student-centre-is-amazing-and-other-lies-you-were-told-on-open-day/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/student-centre.jpg,Photograph via UCL Imagestore
17056,2025/09/23/chuck-brody-s-totally-legit-tips-for-improving-your-gym-sessions,https://cheesegratermagazine.org/2025/09/23/chuck-brodys-totally-legit-tips-for-improving-your-gym-sessions/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/chuck-1100x775.png,Graphic by Kotryna Taujanskaite
17051,2025/09/23/soc-bitch-issue-93-autumn-2025,https://cheesegratermagazine.org/2025/09/23/soc-bitch-issue-92-june-2025-copy/,,
17042,2025/09/23/the-symphony-of-london-welcome-to-your-new-home,https://cheesegratermagazine.org/2025/09/23/the-symphony-of-london-welcome-to-your-new-home/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/bing-bong-1100x641.png,Graphic by Kotryna Taujanskaite
17032,2025/09/22/an-addendum-to-the-study-abroad-team,https://cheesegratermagazine.org/2025/09/22/an-addendum-to-the-study-abroad-team/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/They-dont-know-I-studied-abroad-2.png,Graphic by Malvika Murkumbi
17019,2025/09/22/30-of-ucl-s-cleaning-staff-to-be-laid-off-amid-cost-cutting-agenda,https://cheesegratermagazine.org/2025/09/22/30-of-ucls-cleaning-staff-to-be-laid-off-amid-cost-cutting-agenda/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/cleaners-protest-2025-1100x826.jpg,"Photograph by Abel Harvie-Clark, Independent Workers of Great Britain"
17012,2025/09/22/the-cheese-grater-touch,https://cheesegratermagazine.org/2025/09/22/the-cheese-grater-touch/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/cheez-touch-1-1100x775.png,Joever! You've all got The Cheese Grater touch... Graphic by Kotryna Taujanskaite.
17006,2025/09/22/bereaved-student-felt-harassed-by-student-finance-over-loan-repayments,https://cheesegratermagazine.org/2025/09/22/bereaved-student-felt-harassed-by-student-finance-over-loan-repayments/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/bereaved-student-1100x769.jpeg,Graphic by Szofi Vardy
16980,2025/09/22/down-your-union-exclusive-interview-with-su-president-anam-choudhary,https://cheesegratermagazine.org/2025/09/22/down-your-union-exclusive-interview-with-su-president-anam-choudhary/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/anam-1100x768.jpeg,Graphic by Szofi Vardy
16950,2025/09/04/ucl-worst-impacted-by-proposed-international-student-tax-data-reveals,https://cheesegratermagazine.org/2025/09/04/ucl-worst-impacted-by-proposed-international-student-tax-data-reveals/,https://cheesegratermagazine.org/wp-content/uploads/2025/09/good-morning-sunshine-1100x775.png,Graphic by Kotryna Taujanskaite
16912,2025/08/27/fear-but-not-much-loathing-at-ucl-polo-club,https://cheesegratermagazine.org/2025/08/27/fear-but-not-much-loathing-at-ucl-polo-club/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/guards-1100x825.jpeg,Guards Polo Club. Photograph by Robin Elfsberg.
16889,2025/08/20/interview-with-xueren-lyu-the-presidential-candidate-who-wanted-to-control-campus-protests,https://cheesegratermagazine.org/2025/08/20/interview-with-xueren-lyu-the-presidential-candidate-who-wanted-to-control-campus-protests/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/IMG_4165-2-1100x733.png,Lyu's controversial proposals to control student protests may be against UK law. Graphic by Kotryna Taujanskaite.
16877,2025/08/20/a-call-for-images-and-photo-essays,https://cheesegratermagazine.org/2025/08/20/a-call-for-images-and-photo-essays/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/unnamed-1100x1467.png,A picture of the quad “renovations”. Photograph by Kenny Xie.
16850,2025/08/09/ucl-offer-holders-trapped-in-gaza-due-to-bureaucratic-hurdles,https://cheesegratermagazine.org/2025/08/09/ucl-offer-holders-trapped-in-gaza-due-to-bureaucratic-hurdles/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/528321439_17843861001544472_4101066061025101266_n.jpg,@thegaza40 on Instagram
16817,2025/08/07/gordon-street-works-now-in-public-consultation,https://cheesegratermagazine.org/2025/08/07/gordon-street-works-now-in-public-consultation/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/Screenshot-2025-08-07-at-17.20.16-1100x719.png,More construction is due to take place around campus. Photograph by Adam Cleary.
16803,2025/08/01/welcome-fair-to-be-held-in-ucl-east,https://cheesegratermagazine.org/2025/08/01/welcome-fair-to-be-held-in-ucl-east/,https://cheesegratermagazine.org/wp-content/uploads/2025/08/UCL-Welcome-2024_07.jpg,The fair has to be moved because the main UCL Portico is under construction. Photograph by Mary Hinkley via UCL Imagestore
16626,2025/07/20/workers-disrupt-ucl-open-day-in-demands-for-end-to-outsourcing,https://cheesegratermagazine.org/2025/07/20/workers-disrupt-ucl-open-day-in-demands-for-end-to-outsourcing/,https://cheesegratermagazine.org/wp-content/uploads/2025/07/Untitled_Artwork-1100x768.jpg,Photograph by Go Kitajima. Graphic by Rebekah Wright.
16609,2025/07/16/inconsistent-uclfc-wins-varsity-after-emotional-rollercoaster,https://cheesegratermagazine.org/2025/07/16/inconsistent-uclfc-wins-varsity-after-emotional-rollercoaster/,https://cheesegratermagazine.org/wp-content/uploads/2025/07/Screenshot-2025-07-16-at-17.54.44-1100x735.png,Relieved UCFC players lift the Varsity trophy with their UCLWFC peers.  Photograph by @noorandhercamera
16587,2025/07/07/union-president-quits-job-on-the-first-day,https://cheesegratermagazine.org/2025/07/07/union-president-quits-job-on-the-first-day/,https://cheesegratermagazine.org/wp-content/uploads/2025/07/Screenshot-2025-07-07-at-13.43.40.png,Graphic by Jasmine Yiu
16537,2025/06/28/five-questions-with-the-outgoing-union-sabb-rachel-lim,https://cheesegratermagazine.org/2025/06/28/five-questions-with-the-outgoing-union-sabb-rachel-lim/,,
16169,2025/06/22/affordability-crisis-plagues-london-s-student-halls-data-shows,https://cheesegratermagazine.org/2025/06/22/affordability-crisis-plagues-londons-student-halls-data-shows/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/IMG_0058-870x570.jpg,Average rent in London's student halls exceeded the maximum student loan for the first time. Graphic by Rebekah Wright.
16136,2025/06/20/ex-ucl-student-sentenced-to-life-in-prison-for-rape-offences,https://cheesegratermagazine.org/2025/06/20/ex-ucl-student-sentenced-to-life-in-prison-for-rape-offences/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/IMG_0054-1-1100x910.jpg,Graphic by Rebekah Wright
16088,2025/06/18/gold-stars-all-round-biggest-moments-from-the-union-awards,https://cheesegratermagazine.org/2025/06/18/gold-stars-all-round-biggest-moments-from-the-union-awards/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/AJ5A8253-1-1100x734.jpg,Annie Loh of Cheerleading Club awarded Coach of the Year by Activities Sabb Ana Boikova. Photograph by Students' Union UCL
16058,2025/06/13/soc-bitch-issue-92-june-2025,https://cheesegratermagazine.org/2025/06/13/soc-bitch-all-quiet-on-the-bloomsbury-front/,,
16027,2025/06/13/bucking-the-trend-how-ucl-is-outperforming-its-competition,https://cheesegratermagazine.org/2025/06/13/bucking-the-trend-how-ucl-is-outperforming-its-competition/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/PSWS2018_074-1100x734.jpg,UCL’s income increased by 106% last year to £600m Mary Hinkley/UCL Media Services
16037,2025/06/13/we-tried-our-best,https://cheesegratermagazine.org/2025/06/13/we-tried-our-best/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/CG-Team-Arts-1100x620.jpg,The Cheese Grater team at the Arts Awards. Photograph by Students' Union UCL via UCL Imagestore
16015,2025/06/13/almost-forgot-this-is-what-university-is-all-about,https://cheesegratermagazine.org/2025/06/13/almost-forgot-this-is-what-university-is-all-about/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/S_UK-UCL-13-1100x734.jpg,Photograph by Mat Wright/UCL Imagestore
16006,2025/06/13/another-year-for-the-books-easy-as-pie,https://cheesegratermagazine.org/2025/06/13/another-year-for-the-books-easy-as-pie/,,
16000,2025/06/13/how-to-survive-the-exam-season-at-ucl,https://cheesegratermagazine.org/2025/06/13/how-to-survive-the-exam-season-at-ucl/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/szofi-sketch-e1749790017783-1100x827.png,Graphic by Szofi Vardy
15991,2025/06/13/100-men-a-gorilla-and-the-desperation-of-man,https://cheesegratermagazine.org/2025/06/13/100-men-a-gorilla-and-the-desperation-of-man/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/gorilla_edit-1100x750.png,Graphic by Jasmine Yiu
15969,2025/06/13/ucl-halls-make-record-profits-as-mould-cases-soar,https://cheesegratermagazine.org/2025/06/13/ucl-halls-make-record-profits-as-mould-cases-soar/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/evil-mould-fix-1100x825.png,UCL is losing the war on mould... Graphic by Kotryna Taujanskaite
15957,2025/06/13/will-labour-s-immigration-plans-make-things-worse-for-international-students,https://cheesegratermagazine.org/2025/06/13/will-labours-immigration-plans-make-things-worse-for-international-students/,https://cheesegratermagazine.org/wp-content/uploads/2025/06/05012023_AP_StarmerUCL_041-1100x734.jpg,Labour plans to levy universities for income made from overseas tuition. Photograph by Andrew Parsons/Parsons Media via UCL Imagestore
